# Column descriptions:
# id	Object ID, according to EcoCyc
# complex-count-avg	A floating point number
# complex-count-std	A floating point number
# complex-concentration-avg	A floating point number in mM units
# complex-concentration-std	A floating point number in mM units
# relative-complex-mass-to-total-protein-mass	A floating point number
# relative-complex-mass-to-total-cell-dry-mass	A floating point number
id	complex-count-avg	complex-count-std	complex-concentration-avg	complex-concentration-std	relative-complex-mass-to-total-protein-mass	relative-complex-mass-to-total-cell-dry-mass
ABC-63-CPLX	24.39114326080814	13.656041284929044	4.135441835951432e-05	2.182691353455833e-05	3.4255520754232775e-05	1.803400442640357e-05
ABC-64-CPLX	3.5898072901949702	10.796196607294727	6.041623399413779e-06	1.7199538810347707e-05	5.233605593083051e-06	2.755260009294935e-06
ABC-7-CPLX	238.36099915230292	93.14152425221813	0.0004026086067028463	0.0001340280206501593	0.00042153723671483305	0.00022192056128266243
ABC-70-CPLX	13.248189884148065	12.081264395484231	2.215695966024871e-05	1.9308933035337226e-05	2.330633564426773e-05	1.2269746625295034e-05
ABC-8-CPLX	629.9110664029387	203.88324144112804	0.0010592822520314187	0.00024166246639840532	0.0012418018938889664	0.0006537533325440036
ABC-9-CPLX	84.8616422718282	40.7290468284701	0.0001448514211501047	6.545489973549302e-05	0.00013035985045572015	6.862864929161163e-05
ACETOACETYL-COA-TRANSFER-CPLX	23.749490816614863	26.563176760104472	4.0384867570923297e-05	4.41172961956322e-05	2.1384171668561294e-05	1.1257812989988086e-05
ATOA-CPLX	0.975929923707262	1.8494056088704958	1.6803443643162133e-06	3.129718161703094e-06	4.340291339233794e-07	2.284969882232824e-07
ATOD-CPLX	1.804566261655835	2.931677415638904	3.10265289457558e-06	5.106280456255601e-06	8.222895351921557e-07	4.3289877926051693e-07
ACETOLACTSYNI-CPLX	638.2395840632947	260.13988623023874	0.0010792282194721284	0.00037660753537041726	0.0008844620299812586	0.0004656298258638208
ACETOLACTSYNII-CPLX	0.0	0.0	0.0	0.0	0.0	0.0
ACETOLACTSYNIII-CPLX	102.88639276631817	48.24034616847699	0.00017187789466939057	6.717815216041767e-05	0.00016136345615905053	8.495066542733901e-05
ACETYL-COA-ACETYLTRANSFER-CPLX	45.42690477536027	52.82522662325967	7.699419800420648e-05	8.708891039548338e-05	7.102856218482616e-05	3.7393371247580826e-05
ACETYL-COA-CARBOXYLTRANSFER-CPLX	533.8559886973721	183.3678625280698	0.0008997639671393789	0.0002420780927764462	0.0007091332330720234	0.0003733270311633063
ACETYLGLUTKIN-CPLX	113.89647471037016	45.387787507473305	0.00019176959586697333	6.317100221871242e-05	5.991925868443414e-05	3.154481825264279e-05
ACETYLORNDEACET-CPLX	223.5787397569935	88.79323711860393	0.00037656543463084584	0.0001240236166599078	0.00018337160225869955	9.653697313597206e-05
ACETYLORNTRANSAM-CPLX	150.0890081944052	55.13349299517783	0.00025275086662180664	7.459200694583454e-05	0.00012723769315974397	6.698497267377463e-05
ACNEULY-CPLX	54.533375529810684	43.818411723135746	9.250866665872002e-05	7.042717982819126e-05	6.886304787639925e-05	3.6253324511645996e-05
ACSERLYA-CPLX	6705.606745408308	1651.337559358096	0.011325929796599746	0.0015465196805405075	0.004480424420800496	0.002358743701973901
ACSERLYB-CPLX	302.35162023170386	124.3356534720697	0.0005086782743774974	0.00017566564748952823	0.0001913082542325145	0.00010071526655190028
ACYLCOASYN-CPLX	33.152006781576716	21.55421866757749	5.638206453679358e-05	3.486812066407717e-05	4.0032807662637005e-05	2.107548840868667e-05
ADCLY-CPLX	682.8438315908448	168.64375687086908	0.00115367823106824	0.00015616658106680823	0.0003930829226890606	0.00020694063355735843
ADENPRIBOSYLTRAN-CPLX	947.6612398982763	285.68487850752945	0.0015974913017249232	0.0003310328978855289	0.0003645441674812908	0.00019191625131446483
