# Column descriptions:
# id	Object ID, according to EcoCyc
# flux-avg	A floating point number in mmol/g DCW/h units
# flux-std	A floating point number in mmol/g DCW/h units
id	flux-avg	flux-std
ASNSYNA-RXN	0.07295007765149568	0.07737910457063005
ASNSYNB-RXN	0.0009182320761642112	0.0007628541234072646
ASPAMINOTRANS-RXN	4.3615464285547265	10.301874489643925
ASPARAGHYD-RXN	0.01688362244961166	0.02590446403993372
ASPARTASE-RXN	-3.84070650748977	8.286625059115863
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	-0.23980215671436098	5.616218818738709
ASPARTATEKIN-RXN	0.23980215671436103	5.616218818738709
ASPCARBTRANS-RXN	3.0786050916858136	2.121310522413673
ASPDECARBOX-RXN	0.00940687009383416	0.01870786147924113
ATOC-RXN	0.0	0.0
ATP-PYROPHOSPHATASE-RXN	0.0	0.0
ATPASE-RXN	0.0	0.0
ATPPHOSPHORIBOSYLTRANS-RXN	-0.005593324800762782	0.006663523789767842
ATPSYN-RXN	-133.80499355640148	59.59116438201222
BADH-RXN	3.6132800266132806e-19	1.1866220718864983e-16
BAER-RXN	0.0	0.0
BAES-RXN	0.0	0.0
BARA-RXN	-7.777540784350944e-20	3.241699240322647e-17
BASR-RXN	0.0	0.0
BASS-RXN	0.0	0.0
BETA-GLUCURONID-RXN	0.0	0.0
BETA-LACTAMASE-RXN	0.0	0.0
BETA-PHOSPHOGLUCOMUTASE-RXN	2.767372828759114e-18	3.257592020344912e-15
BETAGALACTOSID-RXN	0.0	0.0
BIOTIN-CARBOXYL-RXN	4.039186007998671	2.1305272924641208
BIOTINLIG-RXN	0.0	0.0
BIS5-ADENOSYL-TRIPHOSPHATASE-RXN	0.0	0.0
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	-0.987546405614188	4.3700467410893955
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	-0.9479199379472939	4.324055979420516
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	-0.0808712219258701	1.4385534133518045
BTUR2-RXN	0.0	0.0
BUTYRYL-COA-DEHYDROGENASE-RXN	0.0009416192699805411	0.20317490826022888
CARBOXYLATE-REDUCTASE-RXN	0.0	0.0
CARBOXYLESTERASE-RXN	0.0	0.0
CARBPSYN-RXN	0.025118953390038987	0.049139818348971694
CARDIOLIPSYN-RXN	0.01209048495992709	0.0051248769857657785
CARNDETRU-RXN	1.075476785680794e-19	3.614610784272806e-17
CATAL-RXN	0.9335211549238779	3.884356619159665
CDPDIGLYPYPHOSPHA-RXN	-1.4652253444838119e-18	1.2470515241716922e-15
CDPDIGLYSYN-RXN	0.24897708330739493	0.1408892998247016
CDPKIN-RXN	0.22614500642869834	3.496576923262794
CDPREDUCT-RXN	-0.0022600419844227204	0.006462556904967427
CHD-RXN	-0.2340184246277702	5.887548437872558
CHEBDEAMID-RXN	0.0	0.0
CHEBDEP-RXN	0.0	0.0
CHEBTAPD-RXN	0.0	0.0
CHEBTARD-RXN	0.0	0.0
CHEBTRGD-RXN	0.0	0.0
CHEBTSRD-RXN	0.0	0.0
CHER-RXN	1.5195070425673296e-18	7.192850784033235e-16
CHERTAPM-RXN	-5.719401484309405e-19	2.1582364700407274e-16
CHERTARM-RXN	-6.993686353722634e-20	9.92116118975172e-17
CHERTRGM-RXN	-2.6484509869818145e-20	1.1749111419890519e-17
CHERTSRM-RXN	-2.2609299398574682e-20	9.578885214622915e-18
CHEYDEPHOS-RXN	0.0	0.0
CHORISMATE-SYNTHASE-RXN	0.008500217035325233	0.00785393602329228
CHORISMATEMUT-RXN	0.002247266522546439	0.006721990811412983
CHORPYRLY-RXN	0.0006302011172180889	0.0024871340317494752
CITC-RXN	-1.6237306443132917e-20	4.95044478647059e-18
CITLY-RXN	0.5829353493403211	3.1271418521883705
CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN	-5.456883376170968e-20	8.851166634210777e-17
CITRYLY-RXN	0.5481712389457306	3.552038318903331
CITSYN-RXN	0.08409520521227107	0.23589505577198028
CITTRANS-RXN	0.5481712389457308	3.5520383189033304
COBALADENOSYLTRANS-RXN	0.0	0.0
COBALAMIN5PSYN-RXN	0.0	0.0
COBINAMIDEKIN-RXN	0.0	0.0
COBINPGUANYLYLTRANS-RXN	0.0	0.0
CPM-KDOSYNTH-RXN	0.03160429079343295	0.013428380828257874
CPXA-RXN	0.0	0.0
CPXR-RXN	0.0	0.0
CREB-RXN	0.0	0.0
CREC-RXN	0.0	0.0
CROBETREDUCT-RXN	-2.541240066496928e-19	6.260375126732626e-17
CTPSYN-RXN	0.00796174838967423	0.004830521632998895
CYSTATHIONINE-BETA-LYASE-RXN	4.484093917576811e-05	0.0005648892386999353
CYSTEINE-AMINOTRANSFERASE-RXN	0.01667190832956001	0.04726253223776267
CYTD-RED-RXN	0.0	0.0
CYTDEAM-RXN	0.013836313078278088	0.005446691427219322
CYTIDEAM-RXN	1.8649732315971817e-05	3.716730903452072e-05
CYTIDEAM2-RXN	0.11353590326817227	3.192691909401125
