# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass
ASPCARBREG-MONOMER	5215.306025782426	1575.1136875192885	0.008376084251073257	0.0015836835364851332	0.0011667490812422264	0.0008467595824255047	0.0004362060361613801
ASPDECARBOX-MONOMER	2952.556601558331	825.8719404607372	0.004758473660103926	0.0008263514334820422	0.0006605351028594785	0.0003872604641268509	0.00019949623898546373
ASPKINIHOMOSERDEHYDROGI-MONOMER	1357.346445132292	357.3370372042944	0.0022032954526501037	0.00041684110254088745	0.0003036605541374558	0.0011469488436805112	0.000590847767377666
ASPKINIIHOMOSERDEHYDROGII-MONOMER	115.25502781039124	70.69186750629183	0.00018626696964388012	0.00010481184461605855	2.578443089274839e-05	9.712786692367828e-05	5.0035172569558854e-05
ASPKINIII-MONOMER	1127.5933990346414	271.4279348438579	0.0018218811561060031	0.00022645414861041112	0.0002522610477380551	0.0005187824753038536	0.00026724946712036995
ASPS-MONOMER	953.3473844000902	289.9793734945303	0.001547029405330761	0.00036082581037020524	0.00021327937025260362	0.0005958075897360588	0.0003069287580887775
ATOA-MONOMER	52.64573000794583	63.01430667029941	8.666484137542595e-05	0.00010207285296224854	1.1777709076790352e-05	1.1460235476014495e-05	5.903711034658541e-06
ATOC-MONOMER	14.781615493174892	27.19651256429894	2.3811581435619523e-05	4.2999725639360604e-05	3.3068886486580175e-06	7.313033841280054e-06	3.76729070497345e-06
ATOD-MONOMER	53.421612646908834	64.34786777256565	8.780201099296721e-05	0.00010372640033682802	1.195128668694144e-05	1.191513768203039e-05	6.138052744213057e-06
ATOS-MONOMER	17.018711827421402	29.070456024746495	2.729913825033327e-05	4.503263553004892e-05	3.807363612107719e-06	1.0939418870372667e-05	5.635413690489975e-06
ATPA-MONOMER	2868.4099690468565	728.1649570038169	0.004640349929472776	0.0007198116307916652	0.0006417101277406578	0.0015019897344102512	0.0007737461754202471
ATPB-MONOMER	1749.0533461415305	436.16667675949515	0.0028305973003426373	0.0004257251731381791	0.0003912917812618897	0.0005026014858516108	0.00025891387173222687
ATPC-MONOMER	1172.4953190782842	310.1169245563614	0.0018962636633767167	0.00032239025766586237	0.0002623063401327756	0.00016747905328368053	8.627640653758063e-05
ATPD-MONOMER	3245.6497147804225	827.6018386561976	0.005256499085043101	0.0008597683366670618	0.0007261048160996513	0.0015483726593611287	0.0007976402207411609
ATPE-MONOMER	7865.937296758814	1942.0598012056405	0.012735283793340565	0.0018960691637637072	0.0017597385596802907	0.0006157158314552025	0.000317184437962367
ATPF-MONOMER	1576.6429050888864	398.2740325700384	0.0025503204773263447	0.000388882626578732	0.0003527207515466084	0.00025811238181045506	0.00013296593423980135
ATPG-MONOMER	1196.0921549791867	305.78112062180264	0.0019353964072359078	0.00030766061175027513	0.0002675853374670636	0.00035822614986409147	0.00018453928615010998
ATPH-MONOMER	844.2227321782237	208.59849121618785	0.0013667813608333015	0.0002038697898478455	0.00018886640443788159	0.0001547179544618329	7.970255907287654e-05
ATPPHOSRIBOSTRANS-MONOMER	796.1737242205381	314.88412708284557	0.0012859188764447144	0.0004217403410336288	0.0001781170571105942	0.0002518854043388638	0.00012975812269975539
B0070-MONOMER	11.716009060613608	15.947035175100329	1.8742775470588854e-05	2.4613798451035045e-05	2.6210624534244353e-06	4.7467253791299345e-06	2.445263455355173e-06
