# Column descriptions:
# id	Object ID, according to EcoCyc
# complex-count-avg	A floating point number
# complex-count-std	A floating point number
# complex-concentration-avg	A floating point number in mM units
# complex-concentration-std	A floating point number in mM units
# relative-complex-mass-to-total-protein-mass	A floating point number
# relative-complex-mass-to-total-cell-dry-mass	A floating point number
id	complex-count-avg	complex-count-std	complex-concentration-avg	complex-concentration-std	relative-complex-mass-to-total-protein-mass	relative-complex-mass-to-total-cell-dry-mass
ABC-2-CPLX	33.99484845950382	33.82811397400565	3.8662062484244955e-05	3.729565462389705e-05	5.2614825078439586e-05	2.4923620311871657e-05
ABC-20-CPLX	10.037498301115514	38.02107734566659	1.129582216974321e-05	4.371828393170163e-05	1.3131098759574271e-05	6.2201959100578294e-06
ABC-21-CPLX	178.40293880879446	94.19053335521318	0.00020234571077239755	9.88808251053646e-05	8.150958468943692e-05	3.861105567773413e-05
ABC-22-CPLX	442.1928207755277	133.71255031797892	0.0005032163644179217	0.00011894833102281795	0.0006452169370428477	0.000305638989271
ABC-23-CPLX	0.0	0.0	0.0	0.0	0.0	0.0
ABC-24-CPLX	83.64798590709977	40.29125090351131	9.49535580075414e-05	4.125880235645613e-05	0.00011196841703850263	5.3039391635884995e-05
ABC-25-CPLX	37.33896666004537	22.748911806930796	4.195929415785699e-05	2.3256419862629763e-05	5.150674399971733e-05	2.439872277510954e-05
ABC-26-CPLX	32.99194728753489	21.43346910914891	3.723998027298941e-05	2.2480765498452334e-05	4.762019123672441e-05	2.2557664380588994e-05
ABC-27-CPLX	52.10867633375501	37.43828477092775	5.8805379741416647e-05	4.016846457803662e-05	6.0875577585921266e-05	2.883673526910799e-05
ABC-28-CPLX	46.64721487490983	30.605013121422335	5.294992544427325e-05	3.330473758709382e-05	5.158725483195691e-05	2.443686072217561e-05
ABC-29-CPLX	53.11057647071123	37.31275755429143	5.971680250959704e-05	3.805979229825926e-05	5.21745568382407e-05	2.4715065433323e-05
ABC-3-CPLX	43.033551661770396	14.175175114695515	4.903415033324742e-05	1.398906263445451e-05	4.2585875564776314e-05	2.01729111831645e-05
ABC-304-CPLX	106.64920649026148	37.38537192458019	0.00012158220281387293	3.676453921612486e-05	0.00013372400466363585	6.334500426164411e-05
ABC-32-CPLX	8.393030391736627	6.652390716248387	9.508928602069286e-06	7.1694228811923e-06	1.245966696500924e-05	5.902138953903187e-06
ABC-33-CPLX	4.484349353378428	10.68867136208861	4.926129529717316e-06	1.1346345904745908e-05	5.652257448130071e-06	2.6774719545702703e-06
ABC-34-CPLX	28.819607217906764	18.4761707055007	3.299985198896265e-05	2.0324558430781557e-05	4.0073634394926254e-05	1.8982863607108733e-05
ABC-35-CPLX	20.70561206887539	30.319423145303045	2.3394298553306097e-05	3.359224810315851e-05	7.98825034062422e-06	3.7840307964357896e-06
